"actualFreshWeight","alive","birdid","bodyPart","description","featureid","birdName","clutch","clutchOrder","dateFirstFound","dateLaid","datesMated","daysOnNest","definiteFather","eggMeasurements.dryShellWeightUnhatched","eggMeasurements.eggLength","eggMeasurements.eggWidth","eggMeasurements.fwCoefficientX104","eggMeasurements.shellThicknessInMms","eggMeasurements.calculatedFreshWeight","eggMeasurements.eggWeightBeforeFillingWithWater","eggMeasurements.shellWasteWeightHatched","eggMeasurements.weightWithWaterInGrams","eggMeasurements.dryShellWeightHatched","eggMeasurements.addled","eggMeasurements.germinalDiscDiameterInMms","estAgeWhen1stFound","father","firstDayAtOrVeryCloseToNest","fledged","historicDataFirstEggWeight","houseID","id","lastDateMated","layIsland","layYear","matedWith","matingToLaying","matingToNestingDays","modifiedTime","mother","nestingToLaying","results","viable","currentIsland","currentLocationID","eggName","comments","currentChipId","currentTxRecordId","demise","discoveryDate","lastTxChangeId","legColour","plumageColour","sex","studbookno","dateFledged","dateHatched","dateWeaned","incubationPeriod","interClutchLayingInterval","nestMother","transmitterGroup","layDateIsEstimate","embryoMeasurements.lengthInSitu","embryoMeasurements.estimatedAgeAtDeathInDays","embryoMeasurements.headLengthInMms","embryoMeasurements.totalLengthInMms","embryoMeasurements.yolkSacMembraneDiameterInMms","layLocationID","deadEmbryo","gan","dateIndependent","modifiedByRecordId","currentBandId","ageClassOverride","currentBandLeg","ageClass"
NA,FALSE,NA,NA,NA,NA,"Mila2-2-16","A", 2,NA,2016-02-05 20:00:00,"18&27/01/2016",NA,TRUE,NA,   48.650000,   37.300000,NA,NA,NA,NA,NA,NA,NA,NA,NA, 2.00,"31ea74be-9caf-400b-911b-1c430f59a774","30/01/2016",FALSE,NA,"KA16023","c092a991-b2f8-4c75-b184-2c6504004bc2","27/01/2016","Anchor",2016,"Trevor & Blake", 8, 3,2018-11-07 09:26:06,"9e8b074d-128d-46cd-8e87-abbdd6bf0a06", 5,"Cruched in nest by Mila after external pip","fert","Anchor",NA,NA,"Second egg of Mila's 2016 2 egg clutch. Died during hatching.",NA,NA,2016-03-03 00:00:00,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LDE 27d",NA,NA,NA,NA,NA,NA,"Egg"
NA,FALSE,NA,NA,NA,NA,"Millie-2-A-19","A", 2,NA,2019-01-25 08:00:00,NA,NA,NA,NA,   50.560000,   37.620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a6388ea6-6a45-45d4-9834-b877adb6812b",NA,NA,NA,"KW19039","c0ec4527-bde8-45c0-a2ae-890de8ff3a8d",NA,"Whenua Hou",NA,NA,NA,NA,2021-06-23 11:59:14,"d4657e4c-676d-45e8-bb08-cfd417d7b5f3",NA,NA,"infert","Whenua Hou","490b088a-25db-42e1-9083-0cff48fb9bc0","Millie-2-A-19","Provisionally sending Millie-2-A-19 egg to University of Cambridge Zoology Museum. Sent by Jodie Crane under CITES scientific exemption August 2019. Cut out of shell kept in Invercargill. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egg"
NA,TRUE,NA,NA,NA,NA,"Horopito","A", 2,NA,2019-01-10 13:30:00,NA,NA,TRUE,NA,   51.430000,   38.380000,NA,NA,   41.200000,NA,NA,NA,NA,NA,NA,NA,"b00c56aa-7164-4ce7-9017-477fe324f6ec",NA,NA,NA,"KA19024","c1090a08-0e62-4a0c-a6ed-b63365ece34e",NA,"Anchor",NA,NA,NA,NA,2022-01-06 14:14:08,"8bf11dc3-06de-4a9c-acd3-119ad44627a8",NA,NA,"fert","Anchor",NA,"Aparima-2-A-19","Sex assigned from genetic testing from blood in lysis, 29/4/19",NA,NA,NA,NA,NA,NA,"Green","Male",269,2019-04-25 08:00:00,2019-02-10 22:00:00,NA,NA,NA,"6e63bf11-593e-47ed-a123-ff9c69305460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-02 00:00:00,NA,NA,NA,NA,"Juvenile"
NA,FALSE,NA,NA,NA,NA,"Tiwhiri-2-B-19","B", 2,NA,2019-02-13 01:00:00,NA,NA,NA,NA,   51.600000,   37.600000,   39.400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KA19081","c1a89f3c-1b5f-4923-945d-6fffb2000b42",NA,"Anchor",NA,NA,NA,NA,2019-03-22 14:22:18,"3543a1e5-c7a4-4786-9697-23be04c2cc1e",NA,NA,"infert","Anchor","c63e7c39-f5f3-49c6-99c7-ba95c23aa6d0","Tiwhiri-2-B-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3543a1e5-c7a4-4786-9697-23be04c2cc1e",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egg"
NA,FALSE,NA,NA,NA,NA,"Ihi-2-A-19","A", 2,NA,2019-01-22 23:00:00,NA,NA,NA,NA,   49.550000,   38.440000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KW19024","c1ac6136-d368-4354-861f-3980650badb9",NA,"Whenua Hou",NA,NA,NA,NA,2021-06-23 11:53:02,"e5e67685-de0e-4bd6-b181-14a4974de4c1",NA,NA,"infert","Whenua Hou","490b088a-25db-42e1-9083-0cff48fb9bc0","Ihi-2-A-19","Provisionally sending Ihi-2-A-19 egg to University of Cambridge Zoology Museum. Sent by Jodie Crane under CITES scientific exemption August 2019. Cut out of shell kept in Invercargill. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e5e67685-de0e-4bd6-b181-14a4974de4c1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egg"
38.400,FALSE,NA,NA,NA,NA,"Lisa3.3.05","A", 3,2005-02-16 22:10:00,2005-02-15 00:00:00,"3? & 6/02/2005","10",FALSE,    4.000000,   49.150000,   38.150000,    5.368075,    0.300000,NA,NA,NA,NA,NA,NA,NA, 0.00,"7e1bb1db-9cbd-4c05-9912-736572f3d43b","6/02/2005",FALSE,37.100,"KW05003","c2f1f6e6-c9fc-45e1-9a60-4e188601f876","6/02/2005","Whenua Hou",2005,"Nog?",10,NA,2018-11-07 09:26:12,"798ddb6e-faf0-45b7-8260-466fe18bbe9f",10,"infertile","infert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egg"
NA,TRUE,NA,NA,NA,NA,"Kokoto","A", 2,NA,2016-02-16 00:00:00,"3&7/02/2016",NA,TRUE,NA,   51.400000,   39.500000,NA,NA,   43.620000,NA,NA,NA,NA,NA,NA, 2.00,"31ea74be-9caf-400b-911b-1c430f59a774","9/02/2016",TRUE,NA,"KA16048","c341c9ed-b892-47ed-b6c6-4ef5bfe9a7fa","7/02/2016","Anchor",2016,"Horton & Blake", 9, 2,2022-01-06 14:14:29,"46902583-fea9-4025-a7a4-b5e22f45c66e", 7,NA,"fert","Anchor",NA,NA,"Stella's second egg in her 2016 four egg clutch, hatched and raised by Evohe. Chick ID Stella2-4-16. Named by Estelle Leask (Whenua Hou Committee) after Wero-i-te-Kokoto (the star Kokotoin the Kahui Takurua (Canis Major) constellation), from their Ngai Tahu whakapapa chant ‘Tera’: The names of the stars that Ngai Tahu ancestors followed to reach Te Waipounamu (South Island) on te waka Uruao.  Following the celestial theme of her grandmother, Solstice.","000190717143","43fb9872-67d7-47b1-89de-c3cdee532a29",NA,NA,"1/10/2018 12:55:39 p.m.","Dark grey","Olive","Male",234,2016-05-23 00:00:00,2016-03-16 22:00:00,NA,NA,NA,"30270ae9-d7e9-425a-86fb-6e8454fd1294","West",NA,NA,NA,NA,NA,NA,NA,NA,"KRS16-11315-IA",2017-01-07 00:00:00,NA,NA,NA,NA,"Adult"
NA,FALSE,NA,NA,NA,NA,"Evohe3-3-16","A", 3,NA,2016-02-17 00:00:00,NA,NA,FALSE,NA,   51.500000,   37.910000,NA,NA,NA,NA,NA,NA,NA,NA,NA, 4.00,NA,NA,FALSE,NA,"KA16051","c39da107-fbfb-4355-adcc-44f14edac83e",NA,"Anchor",2016,NA,NA,NA,2018-11-07 09:26:05,"30270ae9-d7e9-425a-86fb-6e8454fd1294",NA,"EDE & infertile clutch","fert","Anchor",NA,NA,"Evohe's first nest, clutch of 3; 2 EDE & 1 infertile egg",NA,NA,2016-02-28 00:00:00,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDE~8",NA,NA,NA,NA,NA,NA,"Egg"
NA,FALSE,NA,NA,NA,NA,"Dusky-A1-2022","A", 1,NA,2022-02-02 22:00:00,NA,NA,NA,NA,   46.500000,   38.500000,NA,NA,   37.490000,NA,NA,NA,NA,NA,NA,NA,"7872f8e4-1a15-49e4-872a-35276e87bc53",NA,NA,NA,"KK22004","c3b80028-1048-492f-8ce7-3428bc3a992f",NA,"Te Kakahu",2022,NA,NA,NA,2022-06-23 14:01:44,"903590e0-995d-4163-9f04-2c6c581559fc",NA,NA,"infert","Te Kakahu","ae5aa379-8680-4162-9af1-9c448eadcbfd","Dusky-A1-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"903590e0-995d-4163-9f04-2c6c581559fc",NA,TRUE,NA,NA,NA,NA,NA,"b9bb3579-ddc5-4758-8955-2a5bda0ecc4e",NA,NA,NA,NA,NA,NA,NA,"Egg"
41.800,FALSE,NA,NA,NA,NA,"Lisa2.3.05","A", 2,2005-02-16 22:10:00,2005-02-12 00:00:00,"3? & 6/02/2005","10",FALSE,    4.300000,   50.500000,   39.100000,    5.414164,    0.400000,NA,NA,NA,NA,NA,NA,NA, 3.00,"7e1bb1db-9cbd-4c05-9912-736572f3d43b","6/02/2005",FALSE,40.300,"KW05002","c3c74e12-40e5-4874-8cc2-a0bd9ea8a44b","6/02/2005","Whenua Hou",2005,"Nog?", 7,NA,2018-11-07 09:26:12,"798ddb6e-faf0-45b7-8260-466fe18bbe9f", 7,"infertile","infert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egg"
